,stat_idx,oc_idx,x,loc_name,country,Lat,Lon,data_years,CI,Contributor
265,570A,Pxxx,xxx,"Yakutat,AK",USA,59-33N,139-44W,1961-2016,93,National Ocean Service
266,571A,Pxxx,xxx,"Ketchikan,AK",USA,55-20N,131-38W,1918-2016,76,National Ocean Service
267,572A,Pxxx,xxx,"Astoria,OR",USA,46-13N,123-46W,1925-2016,98,National Ocean Service
268,573A,Pxxx,xxx,"Arena Cove,CA",USA,38-55N,123-43W,1979-2016,79,National Ocean Service
269,574A,Pxxx,100,"Sand Point,AK",USA,55-20N,160-30W,1973-2016,97,National Ocean Service
270,575A,Pxxx,xxx,"Charleston,OR",USA,43-21N,124-19W,1970-2016,92,National Ocean Service
271,576A,Pxxx,xxx,"Humboldt Bay,CA",USA,40-46N,124-13W,1977-2016,98,National Ocean Service
272,577A,Pxxx,xxx,"Santa Barbara,CA",USA,34-25N,119-41W,1979-2016,53,National Ocean Service
273,578A,Pxxx,xxx,"Santa Monica,CA",USA,34-01N,118-30W,1973-2016,95,National Ocean Service
274,579A,Pxxx,151,"Prudhoe Bay,AK",USA,70-24N,148-32W,1989-2016,94,National Ocean Service
275,583A,Pxxx,xxx,"Cordova-A,AK",USA,60-34N,145-45W,1949-1953,94,National Ocean Service
276,583B,Pxxx,xxx,"Cordova-B,AK",USA,60-34N,145-45W,1964-2016,88,National Ocean Service
277,584A,Pxxx,xxx,"Port Angeles,WA",USA,48-08N,123-26W,1979-2016,75,National Ocean Service
278,590A,Pxxx,xxx,Matavai,French Polynesia,17-31S,149-31W,1958-1967,65,Scripps Inst. Ocean.
279,592A,Pxxx,157,"South Beach,OR",USA,44-38N,124-03W,1967-2016,99,National Ocean Service
280,594A,Pxxx,xxx,"Harvest Oil P.,CA",USA,34-28N,120-40W,1992-2016,63,National Ocean Service
281,595A,Pxxx,074,"Nome, AK",USA,64-30N,165-26W,1992-2014,85,National Ocean Service
282,599A,Pxxx,xxx,Diego Ramirez,Chile,56-31S,068-43W,1991-1997,95,SHOA
283,626A,Pxxx,309,Providenya-A,Russia,64-24N,173-12W,1977-1985,100,Inst. Hydromet. Infor.
284,626B,Pxxx,309,Providenya-B,Russia,64-24N,173-12W,1986-1989,100,Inst. Hydromet. Infor.
285,630A,Pxxx,079,Dalian-A,China,38-56N,121-40E,1975-1990,98,PRC NODC
286,631A,Pxxx,079,Laohutan-A,China,38-52N,121-41E,1991-1997,100,PRC NODC
287,632A,Pxxx,094,Kanmen-A,China,28-05N,121-17E,1975-1997,100,PRC NODC
288,633A,Pxxx,283,Lusi-A,China,32-08N,121-37E,1975-1996,98,PRC NODC
289,635A,Pxxx,078,Zhapo-A,China,21-35N,111-50E,1975-1997,100,PRC NODC
290,636A,Pxxx,xxx,Beihai,China,21-29N,109-05E,1975-1997,100,PRC NODC
291,637A,Pxxx,xxx,Dongfang,China,19-06N,108-37E,1975-1997,100,PRC NODC
292,638A,Pxxx,xxx,Haikou,China,20-01N,110-17E,1976-1997,100,PRC NODC
293,639A,Pxxx,xxx,Lianyungang,China,34-45N,119-25E,1975-1997,100,PRC NODC
294,641A,Pxxx,xxx,Shanwei,China,22-45N,115-21E,1975-1997,98,PRC NODC
295,642A,Pxxx,xxx,Shijiusuo,China,35-23N,119-33E,1975-1997,100,PRC NODC
296,650A,Pxxx,xxx,Hon Dau-A,Vietnam,20-40N,106-49E,1960-1960,100,Mar. Hydromet. Center
297,650B,Pxxx,xxx,Hon Dau-B,Vietnam,20-40N,106-49E,1995-1995,75,TEDIPORT
298,651A,Pxxx,xxx,Vung Ang,Vietnam,18-05N,106-17E,1996-1997,100,TEDIPORT
299,654A,Pxxx,xxx,Currimao,Philippines,17-59N,120-29E,2009-2017,99,UH Sea Level Center
300,655A,Pxxx,xxx,Lubang,Philippines,13-49N,120-12E,2010-2017,100,UH Sea Level Center
301,663A,Pxxx,134,Scott Base,New Zealand,77-51S,166-46E,2001-2017,61,NIWA
302,665A,Pxxx,xxx,Timaru,New Zealand,44-23S,171-15E,1987-2017,64,LINZ
303,667A,Pxxx,xxx,Lyttelton,New Zealand,43-36S,172-43E,1995-2017,97,LINZ
304,668A,Pxxx,xxx,Napier,New Zealand,39-29S,176-55E,1989-2017,84,LINZ
305,669A,Pxxx,xxx,Port Chalmers,New Zealand,45-49S,170-39E,1985-2017,67,LINZ
306,670A,Pxxx,xxx,Champerico,Guatemala,14-18N,091-55W,1974-1975,98,Oregon State Univerity
307,671A,Pxxx,xxx,La Paz,Mexico,24-10N,110-21W,1952-1983,71,UNAM
308,672A,Pxxx,164,Puerto Angel,Mexico,15-39N,096-30W,1962-1984,74,UNAM
309,673A,Pxxx,xxx,Mazatlan,Mexico,23-12N,106-25W,1953-1975,97,UNAM
310,674A,Pxxx,xxx,San Carlos,Mexico,24-47N,112-07W,1968-1983,51,UNAM
311,675A,Pxxx,xxx,San Jose,Guatemala,13-55N,090-50W,1955-1975,93,Oregon State Univerity
312,676A,Pxxx,xxx,Topolobampo,Mexico,25-36N,109-03W,1956-1974,94,UNAM
313,677A,Pxxx,xxx,Yavaros,Mexico,26-42N,109-31W,1970-1973,85,UNAM
314,678A,Pxxx,xxx,Paita-A,Peru,05-05S,081-10W,1981-1984,100,National Ocean Service
